L1015321,GB,GB-ENG,GB-ENG-ESS,51.8254661,0.8630276,Abberton Reservoir
L2547041,GB,GB-ENG,GB-ENG-ESS,51.81975,0.84783,Abberton Reservoir--Layer-de-la-Haye Causeway
L3086042,GB,GB-ENG,GB-ENG-DOR,50.6542494,-2.6018286,Abbotsbury Swannery
L1290319,GB,GB-WLS,GB-WLS-GWN,53.2391946,-4.0244122,Aber (Caernarfonshire)
L973529,GB,GB-WLS,GB-WLS-PEM,51.9737384,-5.0775826,"Aberbach Valley, Pembrokeshire"
L2563605,GB,GB-SCT,GB-SCT-ABE,57.1422,-2.07401,Aberdeen Harbour
L1222884,GB,GB-WLS,GB-WLS-NTL,51.6941722,-3.7787447,Aberdulais Falls
L919596,GB,GB-SCT,GB-SCT-ELN,56.0148887,-2.850244,Aberlady Bay LNR
L933562,GB,GB-SCT,GB-SCT-HLD,57.2409787,-3.6726952,Abernethy Forest
L2798141,GB,GB-SCT,GB-SCT-HLD,57.3789865,-4.3794418,Abriachan Wood WT Reserve
L2564539,GB,GB-SCT,GB-SCT-STG,56.20953,-4.3785667,Achray Forest
L2868864,GB,GB-ENG,GB-ENG-CMA,54.6478973,-2.5940287,Acorn Bank (National Trust)
L1271337,GB,GB-WLS,GB-WLS-CMN,51.7739744,-4.4547844,"Afon Taff, Laugharne"
L2786218,GB,GB-ENG,GB-ENG-HRT,51.7429621,-0.3313279,Alban Way
L1318024,GB,GB-ENG,GB-ENG-DBY,52.7528667,-1.551218,Albert Village Lake
L939855,GB,GB-ENG,GB-ENG-LND,51.5933888,-0.1266003,Alexandra Park
L3409810,GB,GB-ENG,GB-ENG-ESX,50.8656832,0.5679309,Alexandra Park
L1914241,GB,GB-ENG,GB-ENG-LIN,53.6919294,-0.6774616,Alkborough Flats
L2720099,GB,GB-ENG,GB-ENG-SOM,51.2086158,-2.8086205,Aller Moor
L2402585,GB,GB-ENG,GB-ENG-DBY,52.9605498,-1.4859438,Allestree Park
L1027196,GB,GB-ENG,GB-ENG-SFK,51.9821313,1.1200905,Alton Water
L2680588,GB,GB-SCT,GB-SCT-HLD,57.5054665,-4.1475534,Alturlie
L2729930,GB,GB-SCT,GB-SCT-CLK,56.1582184,-3.7948966,Alva Glen
L1344207,GB,GB-ENG,GB-ENG-WSX,50.9218006,-0.5360556,Amberley Wild Brooks
L2993699,GB,GB-ENG,GB-ENG-WSX,50.9667484,-0.7021299,Ambersham Common
L1267548,GB,GB-ENG,GB-ENG-HRT,51.7949211,-0.0035191,Amwell Nature Reserve
L3129126,GB,GB-SCT,GB-SCT-HLD,57.3296024,-3.5910487,Anagach Wood
L1282860,GB,GB-ENG,GB-ENG-LIN,52.9825225,-0.5484581,Ancaster Gravel Pits
L1833802,GB,GB-ENG,GB-ENG-WKF,53.6390119,-1.4279239,Anglers Country Park
L3303036,GB,GB-ENG,GB-ENG-SOM,51.2251718,-2.9897919,Apex Leisure Park
L1252309,GB,GB-ENG,GB-ENG-OXF,51.6404302,-1.2579131,Appleford Gravel Pit
L2490272,GB,GB-ENG,GB-ENG-STS,52.7790932,-2.3269773,Aqualate Mere NNR
L2779907,GB,GB-ENG,GB-ENG-DBY,53.1687717,-1.7616534,Arbor Low
L1488861,GB,GB-SCT,GB-SCT-ANS,56.5608838,-2.556628,Arbroath Cliffs
L2295606,GB,GB-SCT,GB-SCT-AGB,55.6405927,-6.1095572,Ardbeg
L2806691,GB,GB-SCT,GB-SCT-NAY,55.6369465,-4.7485828,Ardeer Quarry LNR
L2696503,GB,GB-SCT,GB-SCT-HLD,57.5758836,-4.0338707,Ardersier to Fort George
L997990,GB,GB-SCT,GB-SCT-AGB,55.9736061,-4.6904755,Ardmore Point
L3307575,GB,GB-ENG,GB-ENG-CON,50.148751,-5.1357908,Argal Reservoir
L2309971,GB,GB-SCT,GB-SCT-STG,56.2112839,-4.035877,Argaty Farm
L3271939,GB,GB-ENG,GB-ENG-SFK,51.9828006,0.810476,Arger Fen and Spouses Vale NR
L1121682,GB,GB-SCT,GB-SCT-HLD,56.9107,-5.8425,Arisaig
L2362470,GB,GB-SCT,GB-SCT-HLD,56.7208424,-5.5316591,Ariundle Oakwood NNR
L2647912,GB,GB-ENG,GB-ENG-ESX,50.8465975,0.1765966,Arlington Reservoir
L2334918,GB,GB-SCT,GB-SCT-HLD,57.0420715,-5.856142,Armadale-Mallaig Ferry Crossing
L1142321,GB,GB-ENG,GB-ENG-DOR,50.6919993,-2.0347452,Arne RSPB Reserve
L2564381,GB,GB-SCT,GB-SCT-NAY,55.50472,-5.34175,Arran--Drumadoon Pt and Bay
L2564453,GB,GB-SCT,GB-SCT-NAY,55.6597611,-5.1716852,Arran--Glen Sannox
L2564371,GB,GB-SCT,GB-SCT-NAY,55.4812806,-5.1041579,Arran--Glenashdale
L3056424,GB,GB-SCT,GB-SCT-NAY,55.7000335,-5.2819347,Arran--Lochranza
L2564386,GB,GB-SCT,GB-SCT-NAY,55.5399382,-5.3234339,Arran--Machrie Moor
L3056399,GB,GB-SCT,GB-SCT-NAY,55.4796317,-5.0898457,Arran--Whiting Bay
L1344850,GB,GB-ENG,GB-ENG-ESX,51.0472204,0.0724261,Ashdown Forest
L2933332,GB,GB-ENG,GB-ENG-ESX,51.0667514,0.0933409,Ashdown Forest--Gills Lap
L3303219,GB,GB-ENG,GB-ENG-GLS,51.9362115,-2.2502661,Ashleworth Ham LNR
L1018700,GB,GB-ENG,GB-ENG-DOR,50.8346734,-1.8617535,Ashley Heath--Castlemain Trail
L1374160,GB,GB-ENG,GB-ENG-SOM,51.4459567,-2.6519108,Ashton Court
L1209774,GB,GB-ENG,GB-ENG-NFK,52.5381264,1.1530066,"Ashwellthorpe Lower Wood, NWT"
L2060617,GB,GB-ENG,GB-ENG-NYK,53.9259747,-1.128459,Askham Bog Nature Reserve
L1470857,GB,GB-ENG,GB-ENG-OXF,51.6666317,-0.9408197,Aston Rowant NNR
L2211391,GB,GB-SCT,GB-SCT-PKN,56.5811864,-3.5884953,Atholl Estates Dunkeld Countryside Trails
L924161,GB,GB-ENG,GB-ENG-NTT,52.9010592,-1.2336016,Attenborough Nature Reserve
L2782072,GB,GB-ENG,GB-ENG-ESS,52.0194133,0.2229881,Audley End NT
L1374163,GB,GB-ENG,GB-ENG-GLS,51.5954949,-2.634058,Aust
L1126505,GB,GB-SCT,GB-SCT-HLD,57.2265939,-3.8121629,Avielochan
L1017424,GB,GB-SCT,GB-SCT-HLD,57.2250916,-3.8093376,Avielochan area
L941629,GB,GB-SCT,GB-SCT-HLD,57.2019222,-3.7872791,Aviemore--Loch Pityoulish
L3220517,GB,GB-ENG,GB-ENG-DEV,50.4727996,-3.864915,Avon Dam Reservoir
L1056320,GB,GB-ENG,GB-ENG-DEV,50.7085338,-3.0590544,Axe Estuary and Seaton Bay
L1374162,GB,GB-ENG,GB-ENG-SOM,51.3196432,-2.9888821,"Axe Estuary, Weston-Super-Mare"
L3302965,GB,GB-ENG,GB-ENG-DEV,50.7065625,-3.3287855,Aylesbeare Common RSPB Reserve
L2564380,GB,GB-SCT,GB-SCT-SAY,55.4933264,-4.4445705,Ayr Gorge Woodlands LNR
L1206957,GB,GB-ENG,GB-ENG-SAW,52.5396142,-2.109375,Baggeridge Country Park
L3154607,GB,GB-ENG,GB-ENG-DEV,51.1424761,-4.2591655,Baggy Point
L3217478,GB,GB-SCT,GB-SCT-DGY,54.8226951,-3.8292503,Balcary Point
L941596,GB,GB-SCT,GB-SCT-ANS,56.6479223,-2.76407,Balgavies Loch
L1343723,GB,GB-NIR,GB-NIR-OMH,54.4960251,-6.7783238,Ballysaggart Lough
L2994165,GB,GB-SCT,GB-SCT-ABD,57.0387471,-3.228693,Balmoral Castle and Gardens
L3031406,GB,GB-SCT,GB-SCT-HLD,58.5760113,-4.7679377,Balnakeil
L2906695,GB,GB-SCT,GB-SCT-HLD,58.5841316,-4.7659572,Balnakeil Bay and Faraid Head
L1870914,GB,GB-SCT,GB-SCT-ELS,57.6061373,-7.5143033,Balranald RSPB Reserve
L2564446,GB,GB-ENG,GB-ENG-NBL,55.608,-1.709,Bamburgh Castle and Beach
L925651,GB,GB-WLS,GB-WLS-GWN,52.7620607,-4.7886658,Bardsey Island
L1307018,GB,GB-ENG,GB-ENG-ERY,54.0210829,-0.2162933,Barmston Beach
L2511171,GB,GB-ENG,GB-ENG-NFK,52.3975816,0.7407579,Barnham Cross Common LNR
L1870944,GB,GB-SCT,GB-SCT-ELN,55.9869636,-2.4466556,Barns Ness
L3040879,GB,GB-ENG,GB-ENG-NTH,52.4737922,-0.4763603,Barnwell Country Park
L1267145,GB,GB-SCT,GB-SCT-SLK,55.7716489,-3.9875221,Baron's Haugh RSPB Reserve
L3260204,GB,GB-ENG,GB-ENG-CON,50.6712684,-4.7565827,Barras Nose
L1374161,GB,GB-ENG,GB-ENG-SOM,51.4050823,-2.670579,Barrow Gurney
L2381700,GB,GB-ENG,GB-ENG-HRT,51.8510494,0.010643,Barwick Ford
L1832520,GB,GB-ENG,GB-ENG-DBY,53.2648273,-1.6113104,Baslow Edge
L919581,GB,GB-SCT,GB-SCT-ELN,56.0777838,-2.6403236,Bass Rock
L1068497,GB,GB-ENG,GB-ENG-CMA,54.6781982,-3.2107544,Bassenthwaite
L1518790,GB,GB-ENG,GB-ENG-CMA,54.6433204,-3.2069487,Bassenthwaite Lake NNR
L3495054,GB,GB-ENG,GB-ENG-STS,53.0220036,-2.3074508,Bateswood LNR
L1800098,GB,GB-ENG,GB-ENG-LND,51.4802877,-0.1552555,Battersea Park
L3031399,GB,GB-ENG,GB-ENG-CON,50.1153181,-5.5310449,Battery Rocks
L3310772,GB,GB-ENG,GB-ENG-SFK,52.009295,1.4332867,Bawdsey
L1344855,GB,GB-ENG,GB-ENG-ESX,50.7371054,0.2299255,Beachy Head
L2485315,GB,GB-ENG,GB-ENG-LEC,52.727482,-1.2390733,Beacon Hill Country Park
L1026627,GB,GB-ENG,GB-ENG-ERY,53.6342571,0.1294327,Beacon Lagoons
